text,label
"had the film boasted a clearer , more memorable , the creepiness would have gotten under the skin . ",0
"passion , lip-synching , tragedy , and lots of really really high notes . for me , this opera isn't a favorite , so it's a long time before the fat lady sings . ",0
moretti's compelling anatomy of grief and the difficult process of adapting to loss . ,1
we do get the distinct impression that this franchise is drawing to a close . ,1
"daringly perceptive , taut , piercing and feisty , biggie and tupac is undeniably subversive and involving in its bold presentation . ",1
"an invaluable historical document thanks to the filmmaker's extraordinary access to massoud , whose charm , cultivation and devotion to his people are readily apparent . ",1
yet another entry in the sentimental oh-those-wacky-brits genre that was ushered in by the full monty and is still straining to produce another smash hit . ,0
"mostly honest , this somber picture reveals itself slowly , intelligently , artfully . ",1
"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . ",1
"it should be interesting , it should be poignant , it turns out to be affected and boring . ",0
this is a heartfelt story . . . it just isn't a very involving one . ,0
"from both a great and a terrible story , mr . nelson has made a film that is an undeniably worthy and devastating experience . ",1
"i spy is an embarrassment , a monotonous , disjointed jumble of borrowed plot points and situations . it's as flat as an open can of pop left sitting in the sun . ",0
"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license . ",0
nothing more or less than an outright bodice-ripper -- it should have ditched the artsy pretensions and revelled in the entertaining shallows . ,0
"payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human . ",1
"the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions , but the spell they cast isn't the least bit mesmerizing . ",0
"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",0
"between them , de niro and murphy make showtime the most savory and hilarious guilty pleasure of many a recent movie season . ",1
"home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do . besides , real movie producers aren't this nice . ",0
"denis o'neill's script avoids the prime sports cliche , a last-second goal to win the championship , but it neglects few others . ",0
eight crazy nights is a showcase for sandler's many talents . ,1
" . . . perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world . ",0
it will delight newcomers to the story and those who know it from bygone days . ,1
it treats ana's journey with honesty that is tragically rare in the depiction of young women in film . ,1
the only excitement comes when the credits finally roll and you get to leave the theater . ,0
"at times auto focus feels so distant you might as well be watching it through a telescope . yet in its own aloof , unreachable way it's so fascinating you won't be able to look away for a second . ",1
the central story lacks punch . ,0
"the film has too many spots where it's on slippery footing , but is acceptable entertainment for the entire family and one that's especially fit for the kiddies . ",0
"a solid cast , assured direction and complete lack of modern day irony . ",1
"naipaul fans may be disappointed . those who are not acquainted with the author's work , on the other hand , may fall fast asleep . ",0
walsh can't quite negotiate the many inconsistencies in janice's behavior or compensate for them by sheer force of charm . ,0
funny and also heartwarming without stooping to gooeyness . ,1
"however sincere it may be , the rising place never quite justifies its own existence . ",0
"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry . ",1
a moving and not infrequently breathtaking film . ,1
what begins brightly gets bogged down over 140 minutes . ,0
watching these eccentrics is both inspiring and pure joy . ,1
sheridan's take on the author's schoolboy memoir . . . is a rather toothless take on a hard young life . ,0
"the film feels formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe . ",0
 . . . the whole thing succeeded only in making me groggy . ,0
the movie is essentially a series of fleetingly interesting actors' moments . ,0
"one thing's for sureif george romero had directed this movie , it wouldn't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head . ",0
"on its own , it's not very interesting . as a remake , it's a pale imitation . ",0
"it's got its heart in the right place , but it also wilts after awhile . ",0
"utterly lacking in charm , wit and invention , roberto benigni's pinocchio is an astonishingly bad film . ",0
it sends you away a believer again and quite cheered at just that . ,1
a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans . ,0
it's exactly the kind of movie toback's detractors always accuse him of making . ,0
"cold and scattered , minority report commands interest almost solely as an exercise in gorgeous visuals . that's not vintage spielberg and that , finally , is minimally satisfying . ",0
simply doesn't have sufficient heft to justify its two-hour running time . ,0
"silly , loud and goofy . ",0
"a must for fans of british cinema , if only because so many titans of the industry are along for the ride . ",1
looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter's imagination . ,0
a mostly tired retread of several other mob tales . ,0
"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it's a memorable performance in a big , brassy , disturbing , unusual and highly successful film . ",1
"the case is a convincing one , and should give anyone with a conscience reason to pause . ",1
kinnear and dafoe give what may be the performances of their careers . ,1
"partly a schmaltzy , by-the-numbers romantic comedy , partly a shallow rumination on the emptiness of success -- and entirely soulless . ",0
"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two",1
"smith's point is simple and obvious -- people's homes are extensions of themselves , and particularly eccentric people have particularly eccentric living spaces -- but his subjects are charmers . ",1
a beautiful paean to a time long past . ,1
the movie exists for its soccer action and its fine acting . ,1
"blisteringly rude , scarily funny , sorrowfully sympathetic to the damage it surveys , the film has in kieran culkin a pitch-perfect holden . ",1
the film's images give a backbone to the company and provide an emotional edge to its ultimate demise . ,1
"with notorious c . h . o . cho proves she has the stuff to stand tall with pryor , carlin and murphy . ",1
"although frailty fits into a classic genre , in its script and execution it is a remarkably original work . ",1
chaiken ably balances real-time rhythms with propulsive incident . ,1
"this film , starring anthony hopkins and chris rock , is your typical 'fish out of water' story . you've seen them a million times . just one problem : fish out of water usually die . this one does . ",0
" . . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume . ",1
the movie is ingenious fun . see it . ,1
"there must be an audience that enjoys the friday series , but i wouldn't be interested in knowing any of them personally . ",0
"soderbergh seems capable only of delivering artfully lighted , earnest inquiries that lack the kind of genuine depth that would make them redeemable . ",0
"offers no new insight on the matter , nor do its characters exactly spring to life . ",0
bearable . barely . ,0
it has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references . ,0
"excessive , profane , packed with cartoonish violence and comic-strip characters . ",0
too clumsy in key moments . . . to make a big splash . ,0
spy-vs . -spy action flick with antonio banderas and lucy liu never comes together . ,0
" . . . pitiful , slapdash disaster . a doa dud from frame one . ",0
"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question 'why ? '",0
"lovely and amazing is holofcener's deep , uncompromising curtsy to women she knows , and very likely is . when all is said and done , she loves them to pieces -- and so , i trust , will you . ",1
"if you've grown tired of going where no man has gone before , but several movies have - take heart . this is the best star trek movie in a long time . ",1
episode ii-- attack of the clones is a technological exercise that lacks juice and delight . ,0
what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film . ,0
dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily assimilated as an all-american girl with a brand new name in southern tennessee . ,1
"the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue . ",1
putting the primitive murderer inside a high-tech space station unleashes a pandora's box of special effects that run the gamut from cheesy to cheesier to cheesiest . ,0
"visually fascinating . . . an often intense character study about fathers and sons , loyalty and duty . ",1
"byler is too savvy a filmmaker to let this morph into a typical romantic triangle . instead , he focuses on the anguish that can develop when one mulls leaving the familiar to traverse uncharted ground . ",1
unfortunately the story and the actors are served with a hack script . ,0
a thought-provoking picture . ,1
"contradicts everything we've come to expect from movies nowadays . instead of simply handling conventional material in a conventional way , secretary takes the most unexpected material and handles it in the most unexpected way . ",1
"according to the script , grant and bullock's characters are made for each other . but you'd never guess that from the performances . ",0
the most ill-conceived animated comedy since the 1991 dog rover dangerfield . ,0
"apart from dazzling cinematography , we've seen just about everything in blue crush in one form or the other . ",0
"secretary "" is owned by its costars , spader and gyllenhaal . maggie g . makes an amazing breakthrough in her first starring role and eats up the screen . ",1
samuel beckett applied to the iranian voting process . ,1
" . . . spiced with humor ( 'i speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( silver's parrot has been replaced with morph , a cute alien creature who mimics everyone and everything around ) ",1
"hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound . ",0
the only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles  several of them . ,0
"writer/director burr steers emphasizes the q in quirky , with mixed results . ",0
"you'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",1
it's all surface psychodramatics . ,0
the most brilliant work in this genre since the 1984 uncut version of sergio leone's flawed but staggering once upon a time in america . ,1
"it's rare to find a film to which the adjective 'gentle' applies , but the word perfectly describes pauline & paulette . ",1
"the film's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style . ",0
"flamboyant in some movies and artfully restrained in others , 65-year-old jack nicholson could be looking at his 12th oscar nomination by proving that he's now , more than ever , choosing his roles with the precision of the insurance actuary . ",1
"nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions . ",1
"clever and unflinching in its comic barbs , slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up . ",1
a carefully structured scream of consciousness that is tortured and unsettling--but unquestionably alive . ,1
"[sports] admirable energy , full-bodied characterizations and narrative urgency . ",1
some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors . ,1
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . ",1
"the film is all a little lit crit 101 , but it's extremely well played and often very funny . ",1
the author's devotees will probably find it fascinating ; others may find it baffling . ,0
serious movie-goers embarking upon this journey will find that the road to perdition leads to a satisfying destination . ,1
"the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of . ",0
"[f]rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels . ",1
"tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden lightly . ",1
"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm . ",1
a by-the-numbers patient/doctor pic that covers all the usual ground,0
a mischievous visual style and oodles of charm make 'cherish' a very good ( but not great ) movie . ,1
john mctiernan's botched remake may be subtler than norman jewison's 1975 ultraviolent futuristic corporate-sports saga . it's also stupider . ,0
sits uneasily as a horror picture . . . but finds surprising depth in its look at the binds of a small family . ,1
there is not an ounce of honesty in the entire production . ,0
the large-format film is well suited to capture these musicians in full regalia and the incredible imax sound system lets you feel the beat down to your toes . ,1
robinson's web of suspense matches the page-turning frenzy that clancy creates . ,1
"an inventive , absorbing movie that's as hard to classify as it is hard to resist . ",1
anyone who can count to five ( the film's target market ? ) can see where this dumbed-down concoction is going . ,0
"in his determination to lighten the heavy subject matter , silberling also , to a certain extent , trivializes the movie with too many nervous gags and pratfalls . ",0
"the cast is phenomenal , especially the women . ",1
"perhaps it's cliche to call the film 'refreshing , ' but it is . 'drumline' shows a level of young , black manhood that is funny , touching , smart and complicated . ",1
it's absolutely amazing how first-time director kevin donovan managed to find something new to add to the canon of chan . make chan's action sequences boring . ,0
"the story is lacking any real emotional impact , and the plot is both contrived and cliched . ",0
sushi for the connoisseurs of the macabre . ,0
"it's not that kung pow isn't funny some of the time -- it just isn't any funnier than bad martial arts movies are all by themselves , without all oedekerk's impish augmentation . ",0
"once ice-t sticks his mug in the window of the couple's bmw and begins haranguing the wife in bad stage dialogue , all credibility flies out the window . ",0
"it's the cinematic equivalent of a good page-turner , and even if it's nonsense , its claws dig surprisingly deep . ",1
it inspires a continuing and deeply satisfying awareness of the best movies as monumental 'picture shows . ',1
"a stupid , derivative horror film that substitutes extreme gore for suspense . ",0
"its message has merit and , in the hands of a brutally honest individual like prophet jack , might have made a point or two regarding life . ",0
there are now two signs that m . night shyamalan's debut feature sucked up all he has to give to the mystic genres of cinema : unbreakable and signs . ,0
"transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games . ",1
the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll . ,0
"with a large cast representing a broad cross-section , tavernier's film bounds along with the rat-a-tat energy of "" his girl friday , "" maintaining a light touch while tackling serious themes . ",1
"a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . . it's a worthwhile tutorial in quantum physics and slash-dash",1
"the weird thing about the santa clause 2 , purportedly a children's movie , is that there is nothing in it to engage children emotionally . ",0
"to be influenced chiefly by humanity's greatest shame , reality shows -- reality shows for god's sake ! -- is a crime that should be punishable by chainsaw . ",0
"we could have expected a little more human being , and a little less product . ",0
"the subtitled costume drama is set in a remote african empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow . ",1
"unambitious writing emerges in the movie , using a plot that could have come from an animated-movie screenwriting textbook . ",0
"most impressive , though , is the film's open-ended finale that refuses to entirely close its characters' emotional wounds . ",1
contrasting the original ringu with the current americanized adaptation is akin to comparing the evil dead with evil dead ii,1
"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity . ",1
a poignant and gently humorous parable that loves its characters and communicates something rather beautiful about human nature . ,1
sex with strangers will shock many with its unblinking frankness . but what is missing from it all is a moral . what is the filmmakers' point ? why did they deem it necessary to document all this emotional misery ? ,0
tian emphasizes the isolation of these characters by confining color to liyan's backyard . ,1
feels like six different movies fighting each other for attention . ,0
"a restrained ribisi convinces as an italian , though if ever a movie needed one of the actor's whiny jags to pump it up , this has to be among the rare ones . ",0
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1
"it could have been something special , but two things drag it down to mediocrity -- director clare peploe's misunderstanding of marivaux's rhythms , and mira sorvino's limitations as a classical actress . ",0
"far from perfect , but its heart is in the right place . . . innocent and well-meaning . ",1
"hashiguchi vividly captures the way young japanese live now , chafing against their culture's manic mix of millennial brusqueness and undying , traditional politesse . ",1
"as an actress , madonna is one helluva singer . as the mediterranean sparkles , 'swept away' sinks . ",0
"a sweet , tender sermon about a 12-year-old welsh boy more curious about god than girls , who learns that believing in something does matter . ",1
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",1
"william shatner , as a pompous professor , is the sole bright spot . . . ",0
mildly amusing . ,0
the rollerball sequences feel sanitised and stagey . ,0
what was once original has been co-opted so frequently that it now seems pedestrian . ,0
"while undisputed isn't exactly a high , it is a gripping , tidy little movie that takes mr . hill higher than he's been in a while . ",1
"i've never seen ( a remake ) do anything as stomach-turning as the way adam sandler's new movie rapes , pillages and incinerates frank capra's classic . . . ",0
roman polanski's autobiographical gesture at redemption is better than 'shindler's list' - it is more than merely a holocaust movie . ,1
"lathan and diggs carry the film with their charisma , and both exhibit sharp comic timing that makes the more hackneyed elements of the film easier to digest . ",1
"trite , banal , cliched , mostly inoffensive . ",0
if high crimes were any more generic it would have a universal product code instead of a title . ,0
"in a way , the film feels like a breath of fresh air , but only to those that allow it in . ",1
"[ "" take care of my cat "" ] is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals . ",1
one of [herzog's] least inspired works . ,1
"sluggish , tonally uneven . ",0
staggers between flaccid satire and what is supposed to be madcap farce . ,0
girls gone wild and gone civil again,1
a mean-spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0
animated drivel meant to enhance the self-image of drooling idiots . ,0
"whether you like rap music or loathe it , you can't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1
"maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that bad . ",1
the wanton slipperiness of * corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art . ,1
"when the precise nature of matthew's predicament finally comes into sharp focus , the revelation fails to justify the build-up . ",0
"film can't quite maintain its initial momentum , but remains sporadically funny throughout . ",1
hilarious musical comedy though stymied by accents thick as mud . ,0
"the result is more depressing than liberating , but it's never boring . ",1
a winning piece of work filled with love for the movies of the 1960s . ,1
its initial excitement settles into a warmed over pastiche . ,0
"in its own way , joshua is as blasphemous and nonsensical as a luis buñuel film without the latter's attendant intelligence , poetry , passion , and genius . ",0
this story of unrequited love doesn't sustain interest beyond the first half-hour . ,0
its generic villains lack any intrigue ( other than their funny accents ) and the action scenes are poorly delivered . ,0
"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture . ",0
"anchored by friel and williams's exceptional performances , the film's power lies in its complexity . nothing is black and white . ",1
"not so much a movie as a picture book for the big screen . this isn't my favorite in the series , still i enjoyed it enough to recommend . ",1
"the best drug addition movies are usually depressing but rewarding . quitting , however , manages just to be depressing , as the lead actor phones in his autobiographical performance . ",0
writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . ,1
"at its best , the good girl is a refreshingly adult take on adultery . . . ",1
there's suspension of disbelief and then there's bad screenwriting . . . this film packs a wallop of the latter . ,0
"a pathetic exploitation film that tries to seem sincere , and just seems worse for the effort . ",0
"will give many ministers and bible-study groups hours of material to discuss . but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted . ",0
"it's endearing to hear madame d . refer to her husband as 'jackie' -- and he does make for excellent company , not least as a self-conscious performer . ",1
"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot . ",1
"demme gets a lot of flavor and spice into his charade remake , but he can't disguise that he's spiffing up leftovers that aren't so substantial or fresh . ",0
claude miller airs out a tight plot with an easy pace and a focus on character drama over crime-film complications . ,1
"none of these characters resembles anyone you've ever met in real life , unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only come from the pen of a screenwriter . ",0
the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies . ,1
you could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time . ,0
"die another day is only intermittently entertaining but it's hard not to be a sucker for its charms , or perhaps it's just impossible not to feel nostalgia for movies you grew up with . ",0
"while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great missed opportunity . ",0
what 'blade runner' would've looked like as a low-budget series on a uhf channel . ,0
a genuine mind-bender . ,1
"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel . ",1
"this amiable picture talks tough , but it's all bluster -- in the end it's as sweet as greenfingers . . . ",1
"impossible as it may sound , this film's heart is even more embracing than monty , if only because it accepts nasty behavior and severe flaws as part of the human condition . ",1
"may lack the pungent bite of its title , but it's an enjoyable trifle nonetheless . ",1
"the comic performances are all spot on , especially lee ross's turn as ken . ",1
the master of disaster - it's a piece of dreck disguised as comedy . ,0
"fine acting but there is no sense of connecting the dots , just dots . ",1
"it's as if allen , at 66 , has stopped challenging himself . ",0
that it'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,1
has something to say . . . but it is a statement and issue worthy of a much more thoughtfulness and insight than a melodramatic and wholly predictable thriller . ,0
all the movie's narrative gymnastics can't disguise the fact that it's inauthentic at its core and that its story just isn't worth telling . ,0
there is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye . ,1
a smug and convoluted action-comedy that doesn't allow an earnest moment to pass without reminding audiences that it's only a movie . ,0
'[the cockettes] provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',1
"the movie resolutely avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates . ",0
"it feels like very light errol morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs . ",0
this thing works on no level whatsoever for me . ,0
ranges from laugh-out-loud hilarious to wonder-what- time-it-is tedious . ,1
"unlike lots of hollywood fluff , this has layered , well-developed characters and some surprises . ",1
"andy garcia enjoys one of his richest roles in years and mick jagger gives his best movie performance since , well , performance . ",1
"it is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film . ",1
fairly run-of-the-mill . ,0
it's tough to be startled when you're almost dozing . ,0
"one of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers . ",1
"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film . ",1
abderrahmane sissako's heremakono ( waiting for happiness ) is an elegiac portrait of a transit city on the west african coast struggling against foreign influences . ,1
"fontaine masterfully creates a portrait of two strong men in conflict , inextricably entwined through family history , each seeing himself in the other , neither liking what he sees . ",1
"engrossing and affecting , if ultimately not quite satisfying . ",1
"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's scarcely a surprise by the time it arrives . ",0
"unlike most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes , metropolis never seems hopelessly juvenile . ",1
"just like every other seagal movie , only louder and without that silly ponytail . ",0
"even by dumb action-movie standards , ballistic : ecks vs . sever is a dumb action movie . ",0
"caso você sinta necessidade de sair da sala antes do término da projeção , não se preocupe : ninguém lhe enviará penas simbolizando covardia . ",0
the ingenuity that parker displays in freshening the play is almost in a class with that of wilde himself . ,1
"as weber and weissman demonstrate with such insight and celebratory verve , the cockettes weren't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create . ",1
"forages for audience sympathy like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining . ",0
"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1
when it really counts . . . bloody sunday connects on a visceral level that transcends language . ,1
this low-rent -- and even lower-wit -- rip-off of the farrelly brothers' oeuvre gets way too mushy -- and in a relatively short amount of time . ,0
"the cold and dreary weather is a perfect metaphor for the movie itself , which contains few laughs and not much drama . ",0
" . . . tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope . ",1
low comedy doesn't come much lower . ,0
an estrogen opera so intensely feminine that it serves as the antidote ( and cannier doppelganger ) to diesel's xxx flex-a-thon . ,1
" . . . if you're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games . ",1
"romanek's themes are every bit as distinctive as his visuals . beyond the cleverness , the weirdness and the pristine camerawork , one hour photo is a sobering meditation on why we take pictures . ",1
"an eye-boggling blend of psychedelic devices , special effects and backgrounds , 'spy kids 2' is a visual treat for all audiences . ",1
attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage . ,1
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss , there isn't a redeeming moment here . ",0
"like a fish that's lived too long , austin powers in goldmember has some unnecessary parts and is kinda wrong in places . ",0
"entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining ! ",1
"even if you're an elvis person , you won't find anything to get excited about on this dvd . ",0
"such a wildly uneven hit-and-miss enterprise , you can't help suspecting that it was improvised on a day-to-day basis during production . ",0
"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production . ",1
"this heist flick about young brooklyn hoods is off the shelf after two years to capitalize on the popularity of vin diesel , seth green and barry pepper . it should have stayed there . ",0
the master of disguise falls under the category of 'should have been a sketch on saturday night live . ',0
i'd rather watch a rerun of the powerpuff girls,1
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff . ",1
"tunney , brimming with coltish , neurotic energy , holds the screen like a true star . ",1
"never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction . ",0
"what saves it . . . and makes it one of the better video-game-based flicks , is that the film acknowledges upfront that the plot makes no sense , such that the lack of linearity is the point of emotional and moral departure for protagonist alice . ",1
a painfully leaden film destined for pre-dawn cable television slots . ,0
the problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball . ,0
"a lousy movie that's not merely unwatchable , but also unlistenable . ",0
"though there are many tense scenes in trapped , they prove more distressing than suspenseful . ",0
its juxtaposition of overwrought existentialism and stomach-churning gore will have you forever on the verge of either cracking up or throwing up . ,0
works because reno doesn't become smug or sanctimonious towards the audience . ,1
"the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox . ",0
succeeds in providing a disquiet world the long-dreaded completion of the police academy series . ,0
not at all clear what it's trying to say and even if it were  i doubt it would be all that interesting . ,0
"earns its laughs from stock redneck 'types' and from the many , many moments when we recognize even without the elizabethan prose , the play behind the thing . ",1
"thirty years ago , it would have been groundbreaking . now it's just tired . ",0
"[director] byler may yet have a great movie in him , but charlotte sometimes is only half of one . ",0
at once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge . ,1
"sensitive , insightful and beautifully rendered film . one of the best of the year . ",1
some like it hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,0
"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine . ",0
"its impressive images of crematorium chimney fires and stacks of dead bodies are undermined by the movie's presentation , which is way too stagy . ",0
"star trek was kind of terrific once , but now it is a copy of a copy of a copy . ",0
"as a belated nod to some neglected all-stars , standing in the shadows of motown is cultural history of the best kind : informative , revealing and richly entertaining . ",1
his work transcends the boy-meets-girl posturing of typical love stories . ,1
an intoxicating experience . ,1
"it's the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking , but humming . ",1
a wonderfully warm human drama that remains vividly in memory long after viewing,1
"complex , affecting and uniquely almodóvar , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong . ",1
"as it abruptly crosscuts among the five friends , it fails to lend the characters' individual stories enough dramatic resonance to make us care about them . ",0
