tweet,label
".@AlaskaAir officials released statement about ramp agent trapped in cargo hold on Flt. 448. After 14 min in air, ""agent appeared okay.""",1
Except when their jacked up codeshare arrangement with @AmericanAir for award travel screws up my Sundays haha https://t.co/EpIiiEgpNb,0
"Worst meal ever @DeltaAssist cold, inedible, roll was best part http://t.co/L7K3nUxeD0",0
"@GoldboxATL @DeltaAssist hence the trip-in-vain comment. Their MX delay meant you would miss your meeting, so no point in going.",1
Bad work @JetBlue limiting security question answers to alpha. Names have hyphens and accents as do many of the other things you ask,0
"@AmericanAir wait times of 2 hours to talk with an exec plt agent, what is going on!!!",0
â€œ@nytimestravel: Are stepped-up services from @JetBlue worth the $$? http://t.co/OocJzC5Rh3â€ I can't wait to try @JetBlue #Mint,1
didn't miss my flight because of killer customer service!! thank you @JetBlue and @BostonLogan,1
"Back to the city that never sleeps I go. See you in three weeks Miami. Tweeting from 37,000 ft @AmericanAir",1
"Hey @SouthwestAir, 128 planes with ""missed"" MX inspections? Those @BoeingAirplanes really aren't going, are they?",0
"Real appreciation to @JetBlue customer service. Just booked 2 flights on the wrong date by accident â€” on hold for 0 minutes, resolved in 13.",1
@AmericanAir just made me check my bag and there was definitely space for it. #notcool.,0
"@united Cyclone warning for Cairns, Australia Sun/Mon.  Can you issue a weather exception so I move my flight earlier?  Flight UA95 thanksn",1
@KeeganAllen omg why is everyone so mad at @united this month @petedavidson @SarahSnitch Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,1
Crying son gets pregnant @SarahBlackwood1 kicked off @united @SkyWestAirlines even after the child had fallen asleep http://t.co/pSiNg4Vstp,0
@AmericanAir @USAirways So my flight is delayed 5+ hours in Charlotte because you can't find a flight attendant?  Really?,0
@AmericanAir worst experience as a Platinium Member 65PHF08 my luggage lost in Dallas AA222250 &amp; AA222251 with no answer ...for 4 days ðŸ˜ž,0
@united had had me on hold for 20 minutes,0
"@AlaskaAir I have great idea, handle maintenance issues before you load the plane with customers. #everytime",0
".@DBJCandace exclusive: @AmericanAir puts its HQ search on hold, reconfigures Fort Worth home. http://t.co/X7dyrmzeUg http://t.co/EauaDue33G",1
"Hey @united, any chance you can pay for the hotel I will have to get in SFO because my flight was cancelled?  I'm poor.",0
@united can you confirm that all flights from o'hare to Atlanta are/were cancelled today/tonight? Was supposed to flight out at 9am,1
After years of @united switched this week to @AmericanAir and got an upgrade on my first flight. A promising start!,1
@SouthwestAir on hold now 110min - the call back failed 3 times.  This is terrible.  I just want to add my dog to the reservation. DM?,0
@united what's up with the sun-slc flight getting rerouted. We now have to bus to Boise to fly out of there? Why?! Highly inconvenient :(,0
How do you overbook a flight @united? #frustrated #NoIneWantsToGiveUpSeat,0
"@united I'm on hold trying to rebook a cancelled flight and there's no ""on hold music"" like normal...is this an issue??",1
Got earlier on an earlier @VirginAmerica flight. Let's hope the screaming babies are quiet. I miss you @AmericanAir! http://t.co/7euQrNT15H,1
"@AmericanAir delays my flight, so i miss my connection, now my father is on a flight and I've been wait listed. Is this business as usual?",0
"@AmericanAir Hi, my 1hr flight has been delayed for more than 2 hours. Do u know when are we going to depart? AA3335",0
@AmericanAir the @USAirways first class product is horrible. Red eye flight w no pillow?,0
@united Everyone has an autistic child in their family. I will never fly you again. #BoycottUnitedAirlines,0
"I have to say @JetBlue going from cancelled to rebooked in 10 mins is pretty good! Emails, phone call, and a new flight out of OAK! Thanks!",1
@Parker_GamesMC @SouthwestAir yeah that sucks Ã°Å¸Ëœâ€ I'm sorry,0
"@aebennett @SouthwestAir I have the same problem. But luckily, I still manage to get a front row seat because no one else wants the middle.",1
We can't wait to see you at #OfficeHours at #VentureScape tomorrow @getmagicbook cc @Americanair,1
@united... 2nd upgrade today - UA1135 -but the delay kinda ruined the moment.,1
@united I am sad that you cancelled my flight.  :(. How do I get home now?,0
@AmericanAir you guys do a terrible job of managing your customers. Bad service. http://t.co/d4W8BNGcIu,0
@JetBlue hey! I'm on my way to jfk for flight 0213 to long beach. What are my chances of the flight being cancelled?,1
May The 4th Be With Uou Late Post... JetBlue Style @jetblue #jetbluesofly #jetBlueBOS #avgeeksÃ¢â‚¬Â¦ https://t.co/TyYtJArsQ2,1
@NBucketTV @JetBlue Wow. You are an excellent photographer. Love the pix of the planes on the Tarmac.,1
"Hey @SouthwestAir if you're going to delay the flight 2+ hours, maybe don't delete my e-boarding pass from the app, just a thought",1
@JetBlue How come there aren't direct flights from Buffalo to Fort Myers anymore? I took one in April and it was great! No longer available?,1
Grateful to the pilot on AA916 @AmericanAir for his actions on landing the plane safely.  Did you know inbound pilot never signed logbook?,1
"Very upset the 14000 miles I expected to get on a @united ticket bought back in OCTOBER will only be 5,000 because I depart 6 days into Mar!",0
"_@ccie5851: Waiting for the next flight (at @United Club in Austin, TX) https://t.co/XTfdJB7W28_ How__s it feel? :)",1
"First flight of the day &amp; we're delayed because of ""mechanical issues"". @SouthwestAir continues to impress me! #Sarcasm",0
Figures my @AmericanAir #usairways flight is cancelled and they wont pick up phone and won't let me change it online,0
@united get my issue??,0
@WilliamdeVry1 @SouthwestAir @MediaNiteRadio Ross and I will be there...but we are driving in...can't wait!,1
@AlaskaAir I just went through a really bad costumer service experience &amp; because of it now I wont be able to spend the weekend w/ my honey,0
Come on @united .. 35 minutes and counting to get flight 1247 to a gate in IAH. No gate available?? Really? #sad #badservice,0
@AmericanAir i had this problem on the same flight on 10/22/13.  Shame on me for booking twice...,0
"I had good experiences with @JetBlue during this trip but 20 mins late, 20 min on Tarmac and 20 and counting at baggage, on Xmas, not cool.",0
@JetBlue made a new friend! Having the pleasure of flying #mint &amp; it sure is sweet! Can't wait to fly direct to #RNO http://t.co/qMxDNh7RAw,1
@JetBlue I'll def fly it the next time I'm going coast to coast. Too bad it's not intercontinental.,1
@scottb_edu @united I fear the same situation for my flight tomorrow morning!,1
Never flown with @JetBlue before and don't know why not. Did everyone else know about extra legroom and good snacks? And niceness? #SPSP2015,1
Yay! I got an automated acknowledgement email from @americanair that just asks me to call them and tell them what my issue is. ðŸ˜’,1
@JetBlue trying to see if there's space on a flight tues am before I cancel. Thanks!,1
"@united flight 698 from SFO to ORD sucks at turbulence announcements. Randomly yelling ""check seatbelts!!"" is terrifying.",0
Being #mvpgold on a @Delta flight doesn't mean squat. Wish I had flown @AlaskaAir. Even if routing longer #alaskaair is better . FYI,0
@KiaJD @deray @JetBlue I guess all this shows just how rare it is for a cop to be killed on the job.,1
Never been so grateful for a 3hr phone call w/@JetBlue to get on an earlier flight home! #BeatTheBlizzard #homeatlast,1
Just passed 1 hour on hold without a human being anywhere in sight with @AmericanAir SERIOUSLY? this is customer service to you????,0
@danberger @SouthwestAir first world problem!  Poor you!,1
I side w/ @United &amp; @Uber on the ride-booking issue at #airports! It just makes sense for the customer... #PaxEx #CX http://t.co/aASNtkvk7t,1
45+ min delay on @SouthwestAir because an extra person onboard. Just go with assigned seating already. #ClownCar,0
I need @DeltaAssist to discount the wifi pass when one of your flights that day has no wifi capability.,0
I have @AlaskaAir MVP status now for the rest of the year and I don't know if I will be able to use it--how sad is that!,1
@TheZombiUnicorn @JhnnyCrwsh @SouthwestAir @JetBlue @VirginAmerica I've never had an issue with Delta,1
@AddieScanlon @united flight 1669 has been nothing short of a great disappointment.  @JetBlue you may have some new customers!,1
"@SouthwestAir stuck at SFO since 6AM, hungry and tired, and Disneyland isn't happening today anymore bc of 2 consecutive cancelled flights",0
@caspencer18 @SuperrAwesomee @SouthwestAir yeah I flew with them this weekend and I'm switching to southwest after that experience ,1
"god bless the @united employee who let me switch my flight from CLT to GSO, and saved me about an hour of extra travel time.",1
Ayyy @JetBlue gave me a credit for the technical issues flying out of LA. Knew there was a reason I'm so loyal to JetBlue. Thanks guys!,1
"@united I am disappointed in the horrible self check in, staff with no personalities, stupid lines by group and the sucky wifi.",0
@schoeny awesome. It's going to completely ruin all expectations for travel outside of @AlaskaAir.,1
A new Dreamliner route: @AmericanAir will take the Dreamliner to Shanghai in late June  http://t.co/0PRqPZULhr,1
ICYMI: @SouthwestAir grounds flights after missed inspections. @FlySJC @flySFO &amp; Oak could be affected. Check w/ airline in a.m. @mercnews,1
Thank You @DavidJBarger for being such a great boss! At @JetBlue we will miss you! Many blessings in your future! http://t.co/1a7k0ouDBT,1
Hey @JetBlue I'm at Laguardia waiting to board and no announcements. Any thoughts? Flight #499,0
@sorryimalex @AmericanAir wait what about mine?,1
@caseyshoots @virginamerica Thanks Casey! Tell the guy next to you to suck it up (and make sure you show him The Sadist scene!),1
@united kudos for sneaking the Wilhelm scream into your flight safety video. #NicelyPlayed,1
"@united don't worry I won't be flying united again, one week with two terrible trips was enough",0
"@leagueexpress  Wakefield v Leigh, Error strewn but an enthralling game. Arsenal@united will need to wait.",1
"Worst. Flight. Ever. Screaming children, inattentive parents, and tornado turbulence. @AlaskaAir, I've come to expect better from you.",0
"Its been over a month since issue and still ""Pending Review."" too busy with the merger? @AmericanAir AA Ref#1-2470146097",0
@VirginAmerica sad day. No VEEV Acai on the airplane :(,1
Never flying @AmericanAir ever again.,0
@Wildaboutmusic @VirginAmerica Can't wait to see ya! #YOKConcert,1
Can't wait for tomorrow. Seen too many copies of @united's March magazine. #threedaysinnicaragua,1
@JetBlue how do I cancel a traveler online? What is the fee? Flight is 12/4,1
Whoever set that fire in Chicago this morning is really messing with my weekend. #BostonBound #Eventually @SouthwestAir,0
"@VirginAmerica heya! I like lots of what you offer. However, your partner @Gogo's practice of making it very difficult to cancel isn't cool.",1
"@JetBlue Sorry, what do you mean by DM. Happy to share details of tonight's really crappy experience.",0
@DeltaAssist just tried to call delta to cancel my flight and wait time is 4 hours. help!!,0
"Staying in Dallas 2 days longer for Thanksgiving break - it took two minutes to change the flight. @SouthwestAir, you're the best once more!",1
@AmericanAir where can we issue a complaint regarding ground crew conduct?,1
@SouthwestAir fucking sucks ass.,0
@AmericanAir you guys should tell your customers when they need to be at the US Airways terminal in advance. Making people miss flights.,1
"One #Delta Flight That Highlights Why Air Travel Sucks So Bad  http://t.co/WNtkYXconz  ""If you're not comfortab.. HURK"" @Delta @DeltaAssist",1
@L1LDebbie @united  shame. fire him/her then interview me for the position,0
@AmericanAir flight 183 to Shanghai... We learn on runway that capt has flown too many hours this month?? 300ppl stranded waiting for news..,1
Rude people at the airport at 6AM do not have time for you. Also @AmericanAir you suck and your employees do too.,0
@united Now on hold 50 minutes.  Flight from Beijing late.  Will miss connection and trying to change to later flight.  Can't change online.,0
@united my family and i waited 8 hours to only find out that our flight was cancelled. Your workers had no idea what to do.,0
@DeltaAssist app still not working past November!,0
@AmericanAir #AmericanAirlines  Flight 1179 Miami to DC. Gate closes at least 19 minutes before the flight. Agents show up and lie to me.,0
"Yet another story why the airline industry (and @United, specifically) is terrible. http://t.co/OcZRL0pK9O who cares if she changes seats?",0
@AmericanAir Your system for tracking flight information is severely broken.  It is almost comical at this point.,0
@jetbluescks @JetBlue or you just had one bad experience and now want to crucify JetBlue for it,1
Dear @JetBlue can we leave early so I can get on the plane and sleep? Kthx. &lt;3,0
@united why 15 people deep waiting to get into redcarpet club EWR really slow check in http://t.co/QkeZyds3l9,0
"@VirginAmerica thx for cancelling VX902 with no notification, i was already in the airport waiting like an asshole.",0
Hate when the airline completely changes my flights and airports when trying to fly home - Arghhhh ðŸ˜’âœˆï¸ #travelissues @AmericanAir,0
still waiting on a response from @AmericanAir to an email i sent several weeks ago. i'm so disappointed in this poor service. what happened?,0
Fuck JetBlue. #boycottjetblue #jetbluesucks @JetBlue  http://t.co/QNmsMLsngc,0
"@IsisTaylor @AmericanAir miss, do not expect others to respect you if you do not respect you even #pornstar #bitch http://t.co/nt298KPzSA",1
Will NEVER again fly @united! We'll be flying @SouthwestAir from now on!,0
@jonathonfeit @NikkiRossInda I don't believe things are widespread bad. @SouthwestAir just completed huge merge w/AirTran. They are bigger.,1
@JetBlue I'm hopeful! Totally my fault. Too much birthday partying last night. :(,1
Are compliance standards being enforced? Why did O2 masks not deploy? Seems like a xAirline issue of poor standards @FAANews @JetBlue,1
You know what would be great @VirginAmerica? If you magically upgraded individuals stuck in a row with a couple doing major #PDA.,1
@carllentzNYC @DeltaAssist havent experienced a bad trip with them yet -must have been bad!!,1
Heading to the airport for the honeymoon! Flying @AmericanAir for the first time! Flight 1429 -&gt; 2405 to Antigua! Can't wait!,1
@sandiegoairport the craft brews bar &amp; restaurant in @SouthwestAir gates 1&amp;2 area is not nearly large enough to accommodate 2 flights.  Fail,1
"oh. haha, never mind, my flight was cancelled until tomorrow, good job @jetblue",0
@sebroche @DeltaAssist @Delta do spn actors just have a tendency to get annoyed with airline companies,0
"@AmericanAir Bos. flight attendent tells me, after others use the br that I would cause the whole plane to be late if I went in? Wtf?",0
â€œ@stevegarfield: @MarioLopezExtra Wait! Now you're on my @JetBlue flight from SAN -&gt; BOS. Ha! http://t.co/Exd10Qx8Xiâ€ Stalking you man...,1
"[1/2]So @AmericanAir broken plane delayed take off in DFW, couldn't land at LGA, and now in BOS. Passenger just told we are responsible...",0
"@SouthwestAir headed to DCA tomorrow night from PUJ, layover in ATL. What's the SOP if the 9:15pm DCA flight gets delayed due to weather?",1
"Spending my morning on @AmericanAir! First #Dallas, then #NOLA big beauty weekend w/@behindthechair_ @ #Color2014 can't wait @BethMinardi",1
@united Seriously?A fussy two year old is a safety concern warranting kicking his mom off your plane even after he fell asleep?  #PRDisaster,0
this @JetBlue news is making me #sad =[,1
"If you're traveling this weekend, check your flight status. @SouthwestAir issues travel advisory to BOS, LGA &amp; more. http://t.co/FShmfMPaxr",1
@SouthwestAir My friends are having the #worstdayever ... Their luggage is lost and Southwest won't even look for it #wherestheluv,0
@DeltaAssist may have the worse company policies when it comes to switching or canceling flights. I feel like I have been hustled every time,0
"@DeltaAssist on conf HVHWVM could you please split the PNR so I can be upgraded, but also leave my companion on the list?",1
"@FireAndTheMusic @united D, Are you a points collector? B. (FYI other story coming :) Excuse delay...)",1
@ErikGriffin @united but you're Erik fucking Griffin. Give this man more leg room.,1
"That attendant should be fired, @united. Don't excuse her behavior. ""Muslim woman denied soda can 'weapon' on flight http://t.co/kIu41uuR78""",0
How come @southwestair is the only airline that is consistent and on-time?! They treat you like a human too. Never flying @americanair again,1
@united airlines sucks. 2 people in first class and they refused to upgrade anyone.,0
@DeltaAssist No.  Delta was the worst experience I have ever had flying and I will not fly on your airline again.,0
"@united is it still possible to be upgraded via RPU if there are ""RN0 and R0"" class seats on a flight? What if one of those people cancel?",1
@DeltaAssist 8hours with no answer! You are definitely beating all expectations - glad we dont wait on you!,0
@MelissaAFrancis You must have missed this incident from a few years ago ---&gt; http://t.co/5OW9BKZnql   @united @AmericanAir,0
"@DeltaAssist According to @Delta online check in, I'm now Zehanmr Wang... Or did @Travel_Up1 mess up here? #checkin http://t.co/8bj8NSurGx",0
@SouthwestAir when are the internships for summer 2015 posted? Or did I already miss them? ðŸ˜”,1
New plane smell on @AmericanAir 2320 this morning.  #dreamliner #giantwindow http://t.co/JmzjP3v5Oi,1
@Parker_GamesMC @SouthwestAir aww poor parker,1
"@sarahjoffs @JetBlue never, ever if you live in SLC.",1
"@DeltaAssist @Delta I made the orig. reservation in Oct.  If I had waited, the flights were $643 today.  Instead, I'm paying nearly $800!",0
@AmericanAir really a huge delay for no reason!? Flight1679 ORD to TPA! What is going on!,0
Had a pretty hi opinion of @VirginAmerica until tonight. Flight currently delayed nearly 4 hrs w/ no explanation.,0
@blackenterprise that's because @AmericanAir customer service is horrible and their losing business. I was once a loyal customer.,0
128 @SouthwestAir planes grounded by missed maintenance inspections.   http://t.co/4hSCrVMhFE http://t.co/UHizNFl10M,0
"A New Era Has Begun for @JetBlue, and Travelers Will Hate It | http://t.co/pBYcrsSajT http://t.co/XhRz7XDQiD &lt;--- WOWWW. Fail.",1
Hey @AmericanAir make sure to delay @Erikdisco's flight more when hes in MIA,1
@aayoub @nooriekay @Delta @DeltaAssist at least they accommodated her by not making her sit by the rude person and gave her an out,1
"Over an hour long Flight Delay At #JFK, but fortunately for me the @Mets are on TV! @JetBlue @Terminal5NYC. #LetsGoMets #itsthelittlethings",0
The @united business class lounge at Heathrow is fabulous. The one in Newark sucks. Worlds apart.,1
@united this is why I'll always fly @JetBlue never a bad experience on their flights. And their planes are nice too.,1
Shout out to @AlaskaAir staff for amazing customer service! Every time I face a problem they exceed expectations. #thanks #best #blessed,1
"Customer service over the phone is never fun, but David at @VirginAmerica was super helpful! _",1
.@AlaskaAir Airport worker found trapped inside cargo hold after takeoff from @JFK http://t.co/sVF7shMcM7,1
Massive #fail for @USAirways - @AmericanAir fuel screw up.  Sitting on a plane and going no where due to method of recording fuel.,0
@WSJ PEOPLE OF EARTH: Go forth and fly Spirit Airlines if you must. You need never fight me for a ticket. @United @Delta @VirginAmerica,1
"@united It's TSA who controls security lines; however, removing all priority lanes in ORD reflects poorly on TSA and U #anotherbenefitlost",1
So now my early bird check in doesn't apply to my changed flights. @SouthwestAir is killing it today.,1
"@AmericanAir, why are we stuck on this damned plane? Made us sit on the tarmac for 40 minutes, then there was an empty gate?",0
"Why fly airline with no WiFi ""connectability"" (attendant's word) when you can live the #PlugLife on @VirginAmerica? http://t.co/QSNybQTg1F",1
"Since I've been on hold with Frontier, I've checked my @united rewards, @SouthwestAir rewards, did a load of laundry, solved world hunger...",1
@christoflee @united but wait! There's more!!,1
"@AlaskaAir The part that isn't updated isn't on Alaska, so it might not be a problem if that's just how the app is.",1
Waiting at the gate for my @jetblue flight to Detroit.  #313baby http://t.co/aR9txprRQ2,1
IFE loaded for 13 hours in business class on @AmericanAir 187 this weekend. Never worked. http://t.co/jCU6L5UKIK,0
"@AmericanAir you lost another customer today, forever, w your wild incompetence + blaming me for your errors. @SouthwestAir forever",0
"@AirlineFlyer @JetBlue yeah, it will also leave the sub-zero coverage so forgive me not crying over the TV service. I'm @*#*ing freezin' hea",1
"Salute to all the men and women who served and lost their lives in the field!  @united , United States!",1
@AlaskaAir FA's are awesome! Flight Attendants Kill Scorpion After It Stings Woman On Flight http://t.co/GhD59M6yOK,1
Tweeting @JetBlue from the sky enjoying fly fi and eagerly awaiting blue chips ,1
"@DeltaAssist Poor uniform standards by this gate agent. As a fellow DL employee, a blue turtleneck &amp; no name tag looks sloppy. #Dconcourse",1
"Retweet and help us get the word about new gate assignments for @AmericanAir, they are no longer in Concourse A! http://t.co/jvRVeZHzlt",1
@JustinNFJK @AmericanAir  oh  fuck,0
Woohoo @AmericanAir fixed our problem and got us all back on the same flight and possible same row!,1
@AmericanAir in laws stuck in phl. Flight canceled. 200 people in line to rebook. What can you do?,0
I was not going to leave planespotting today until I saw a @AmericanAir plane! Loyalty!!,1
"@AmericanAir Just got to SFO, flight was late, so I missed my connection. Can't find anyone to help me get a new flight. Help?",0
"Dear @VirginAmerica please fly from Dallas to Boston because I miss the luxury of your planes.  Sincerely, College student with no leg room",1
I love @VirginAmerica. Favorite airline hands down. I never get tired of their safety video. Big ups @richardbranson! Thanks man !!,1
"The day we wrapped series on good service, @AlaskaAir has given worst I've seen. 24hrs at #yyc w/ 2 flight cancellations &amp; 0 communication.",0
SUSPENDING OPS: @AmericanAir will stop flights late this afternoon thru tomorrow at PHI JFK BOS LGA EWR. #blizzardof2015 #Juno,1
Plane makes emergency landing in Seattle after worker heard trapped in cargo hold; worker 'appears okay' - @AlaskaAir,1
@Reagan_Airport 's and @VirginAmerica computers down. 2hr delay + flight logs old school. For gods sake just get me to #dallas.,0
@AmericanAir any alternative options for rebooking flights? I've been waiting on the phone for over and hour and a half.,0
@AlaskaAir great job making right on a bad flight dca:lax. That's why you're the best airline in the business.,1
@sonorachase @AmericanAir That's awful. Sorry to hear that.,0
@DeltaAssist this is crazy!! we have been on the runway with no AC for over 2 hours! first a mechanical issue and now you have no start cart,0
